uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
frankfurt_000000_009969,cityscapes_dropout_pu,0.23096313877611166,0.44979502831724916,0.6079952927827291,0.7671620772611195,0.0,0.0,0.29238667301867094,0.32595907837572713,0.39479678749523184,0.5468974527043785,0.30131091503948854,0.8312007914843843,0.6480436350889149,0.47813945829364324,0.41771848217819124,0.3851005151887432,0.28791069250548607,0.2818161659011548,0.22528642787652053
frankfurt_000000_010351,cityscapes_dropout_pu,0.2555975416939385,0.45532766961667537,0.6097756097862628,0.7436383778042052,0.0,0.0,0.31425664472148274,0.3553402875120155,0.43340480286151917,0.5885406073560945,0.33333941350452073,0.8094461398253442,0.712637645206578,0.5293266301994083,0.4008231545052834,0.37476843010843996,0.31541783451752414,0.3259159021268719,0.2689793589902256
frankfurt_000000_010763,cityscapes_dropout_pu,0.255573595852504,0.46538589230110283,0.6355492594230133,0.7914534535359019,0.9026856001841028,0.0,0.3171947507193365,0.3602135018487144,0.4448516675152162,0.6107635853229004,0.3262248465558504,0.8875971329272545,0.7924478211188597,0.5338337609018494,0.40992953182031583,0.3864110624036647,0.2952096868745402,0.3766548903008386,0.2756114744566626
frankfurt_000000_011007,cityscapes_dropout_pu,0.20439008777558026,0.4295662298797398,0.5859207107832789,0.7692818347572088,0.0,0.0,0.28361083923369207,0.3129678782329454,0.36942031570663963,0.5021474601753493,0.304291421414751,0.8064520748078814,0.5911805942755242,0.4449760769282983,0.34563633200377325,0.3185484474160508,0.25805574002494663,0.3271563108283086,0.17394469964589687
frankfurt_000000_011074,cityscapes_dropout_pu,0.2776171453090097,0.4373018622093727,0.5977569282924422,0.7563443031782393,0.0,0.0,0.36075479342193056,0.40951216141359575,0.4771399373387316,0.5912685154660381,0.29175652275505914,0.8507099532712697,0.7614443276615143,0.5942543331113298,0.4619492108849399,0.42424404244682157,0.32435158657328156,0.35012979224186713,0.27275071824123814
frankfurt_000000_011461,cityscapes_dropout_pu,0.2828284121803135,0.47427857228392056,0.6408198986899746,0.7964677286715167,0.9068735175440839,0.0,0.32974527504077156,0.37482590330324694,0.4622721543660353,0.6297503246311521,0.33736341576279144,0.8922360842286539,0.7623848428290286,0.6079619852188576,0.4351174243168834,0.390748971906997,0.32696154724313603,0.447430537533756,0.31096640712156853
frankfurt_000000_011810,cityscapes_dropout_pu,0.2729313482459099,0.4558546005833551,0.601187944518665,0.7566805977941126,0.0,0.0,0.32680026241246196,0.3712663848360011,0.45380937886659223,0.593376044209933,0.3319458375849987,0.8042462624267425,0.7081248302387979,0.5922332765263196,0.4132345314158158,0.3780038819726683,0.3373323134761176,0.395008319736279,0.29053245530218397
frankfurt_000000_012009,cityscapes_dropout_pu,0.21774357593259183,0.4302726126392289,0.5842436587407146,0.750311339995973,0.0,0.0,0.2798257186166895,0.30944171572160256,0.37011028135683094,0.5077313715122861,0.2906693143950361,0.7230465411346089,0.6274768518078911,0.46948613256374566,0.362584603802569,0.3430436825180543,0.2565770179302449,0.3239587357568918,0.21643654977695492
frankfurt_000000_012121,cityscapes_dropout_pu,0.19495085419912644,0.4449749167290255,0.6022418923111996,0.7826719101267495,0.0,0.0,0.2692576622644084,0.2990572058204375,0.3555081223571576,0.5091831543076559,0.27338086140126494,0.8176774922435968,0.6020262249155268,0.45094646893874163,0.3482043682357957,0.3196726451232174,0.24784513060861912,0.3273389981031807,0.1838315140203033
frankfurt_000000_012868,cityscapes_dropout_pu,0.2535483836153139,0.4985318327878239,0.6609449288817256,0.7686715336423806,0.9166794617997325,0.0,0.3211901069949397,0.3640603403563421,0.45169520773811184,0.6561520488371484,0.3250281821202055,0.8756607664069084,0.7618786652401874,0.7230127771194187,0.6322728976516706,0.5658267990334535,0.32810898733287025,0.4882230233754836,0.26087102854427624
frankfurt_000000_013067,cityscapes_dropout_pu,0.27874736252428783,0.4690457625371125,0.6195728718376154,0.7631197688782788,0.0,0.0,0.34012273549752703,0.38873954399945543,0.4757434769269262,0.6321290563610094,0.3534948863847062,0.8091995435697561,0.6890534198297286,0.6190337207977529,0.4745615371659751,0.4298505909808181,0.3308547972470179,0.42666475594056447,0.29115924224474765
frankfurt_000000_013240,cityscapes_dropout_pu,0.21543639110901747,0.44165737918126735,0.6135709625732592,0.7662877358580008,0.0,0.0,0.2973676186054937,0.34567355337506755,0.41584785629527926,0.5609024915784067,0.31964590845479784,0.8395324449299312,0.7166638309086548,0.46060730213361645,0.369372204781456,0.3519506340239096,0.27851838541083285,0.3361196474991625,0.18098761176142852
frankfurt_000000_013382,cityscapes_dropout_pu,0.19007515829327093,0.44875360189699703,0.6281384107934697,0.781604652099956,0.9182410393594371,0.0,0.2590875440989105,0.28189470235051284,0.3284688672417699,0.47949653354866495,0.2642400123838496,0.8242682262832695,0.7163601845216374,0.5724410730904413,0.3363980106700194,0.3041059351744164,0.2463709521394835,0.4199853911043332,0.17419983266250724
frankfurt_000000_013942,cityscapes_dropout_pu,0.264346949249445,0.44820413816882293,0.6303012342223013,0.7726434740932466,0.0,0.0,0.33333389858112855,0.3802247550256561,0.45846606096209863,0.5942517545863075,0.33339951937898,0.8490195176567634,0.7268418927230361,0.5259597870296225,0.44863004870916323,0.42611673671739864,0.3202770415771647,0.40688068551472983,0.2673842086987782
frankfurt_000000_014480,cityscapes_dropout_pu,0.2680860382175761,0.41892651732660335,0.5777655974667281,0.7330809450369631,0.0,0.0,0.31849143606673364,0.3545604881978942,0.4145337282183852,0.5310689464687096,0.3288265188908407,0.7135243000124096,0.6243676051098219,0.4754340286093505,0.35723993705305296,0.34942505588210926,0.307424396719054,0.34901325108796305,0.2712388469721023
frankfurt_000000_015389,cityscapes_dropout_pu,0.24117828662500007,0.46916018530209547,0.6399211769984706,0.7636913679402784,0.0,0.0,0.2942125825582998,0.32834794195186473,0.40002662932239386,0.5835240252494087,0.3072086169784675,0.8309548321512159,0.6928627033458905,0.5061969516269147,0.3457798543614032,0.3132514321092295,0.2693310697586601,0.35286497484924445,0.25248557673932037
frankfurt_000000_015676,cityscapes_dropout_pu,0.24377311371258517,0.46448830331875796,0.6369997920295495,0.796149954937205,0.0,0.0,0.3029782701907311,0.3402471462877015,0.4139906471387828,0.590992013730143,0.3177416024682564,0.8585577294773589,0.6748252436480882,0.5065972264483929,0.3492258458485709,0.3136893393096187,0.275427751504638,0.3084409754361728,0.25355154051688256
