Coverage,Equally-w. class avg. (Mean Risk),Equally-w. class avg. (Std Dev),GMM_spatial (Mean Risk),GMM_spatial (Std Dev),GMM (Mean Risk),GMM (Std Dev),Imbalance-w. class avg. (Mean Risk),Imbalance-w. class avg. (Std Dev),Quantile fg. ratio (Mean Risk),Quantile fg. ratio (Std Dev),Mean (Mean Risk),Mean (Std Dev),Quantile 0.6 (Mean Risk),Quantile 0.6 (Std Dev),Quantile 0.75 (Mean Risk),Quantile 0.75 (Std Dev),Quantile 0.9 (Mean Risk),Quantile 0.9 (Std Dev),Threshold 0.3 (Mean Risk),Threshold 0.3 (Std Dev),Patch 10 (Mean Risk),Patch 10 (Std Dev),Patch 50 (Mean Risk),Patch 50 (Std Dev),Patch 20 (Mean Risk),Patch 20 (Std Dev),GMM_pixel (Mean Risk),GMM_pixel (Std Dev),Threshold 0.7 (Mean Risk),Threshold 0.7 (Std Dev),Threshold 0.5 (Mean Risk),Threshold 0.5 (Std Dev)
0.735,0.3598736729300055,0.010477969882522137,0.37871365000172424,0.01059590303727564,0.3809504852103037,0.009988197981245134,0.43394537835897506,0.011334469283080151,0.43144497471510984,0.012384288620415351,0.4329846762567807,0.011125575306891412,0.400913935794091,0.011089336876239912,0.40567694246154146,0.010706038162114488,0.4249019616350088,0.01083645933035709,0.38993994595574066,0.011184139255054478,0.4252929545662783,0.011062544308314536,0.4272660498771022,0.010684670161231372,0.4249965571950705,0.0109248393359085,0.34978710126661455,0.01138371995254253,0.39995569930321306,0.010275539801291615,0.34684266689734583,0.011476691686842394
0.74,0.3607262437785467,0.010325981430126906,0.37939407888669124,0.010432978754823057,0.38126547391603177,0.009947948811772753,0.43461624686023476,0.011128917069171976,0.4328714788502249,0.01214778533474331,0.4333017818502906,0.010934064439824817,0.4012333176053332,0.010832949711458909,0.4058218833844734,0.010606606146662383,0.42508293513980117,0.010771923491725422,0.39085859104729936,0.011160292347310878,0.4258673567718412,0.011047052113399278,0.4279559877784838,0.010565379668181918,0.4258483533690078,0.010778559907794319,0.3515160517543469,0.011354515995390065,0.40058963917747714,0.010200888333174922,0.3486155565975941,0.011339527631245228
0.745,0.3616119730417758,0.010283344520941462,0.3800086811236883,0.010235098360970923,0.3817840357782341,0.009844434798497345,0.4352251767587391,0.010987586395686155,0.433962666920518,0.011829152479468795,0.4334205815527283,0.010887428879630068,0.40146548932775195,0.01059995106509874,0.4059463583761937,0.010587145062232888,0.42530311846237284,0.01063575808365178,0.3917830305479778,0.011035717684712626,0.42627868517288703,0.010917805789299786,0.42861206817577757,0.010494582621166149,0.42660631366467017,0.010572801227920762,0.35332944578555914,0.011194175516236936,0.4010715336010125,0.010132072555190096,0.35041753219992006,0.01125094742183018
0.75,0.3623866580288947,0.010175927829489855,0.380578838559993,0.010236794737389632,0.38209695235634006,0.00967646198962225,0.43576310100324483,0.010734282361716472,0.4352259237054545,0.011623102725929951,0.43357718608502993,0.010752978795091598,0.40145644243898954,0.010494854700472093,0.4060613919175446,0.01042633096517232,0.4254452150608237,0.010491419690177478,0.3926334782074976,0.01105966368929217,0.4268023657358804,0.010745157942754586,0.42929983624102447,0.010353997920796509,0.42733296755868394,0.010421500257291704,0.35511608563987285,0.011039487620766071,0.40173898184656043,0.009971464872177517,0.35211792608419623,0.011123897285852974
0.755,0.36313391993767097,0.010145681034006735,0.38117678555553486,0.010096443549050569,0.38261324692473436,0.00980462325993427,0.43611959712034604,0.010679105244813714,0.43620401022494615,0.011320360249673886,0.43365632207025334,0.010547231826296462,0.40132785343504646,0.01039229101635619,0.40613858441954176,0.010375615719282718,0.42565425110526134,0.010550387702203913,0.39359466672417426,0.010968140732730426,0.42747607303835633,0.010831268109775903,0.4296801425217296,0.010300040092324499,0.4278794098036774,0.010267454594930323,0.3568511627684163,0.011022337557870084,0.4021539637016387,0.009931389240395766,0.35374438125982205,0.011069047843595562
0.76,0.36405946175983606,0.01015322778037598,0.3817788005786053,0.010079493006406773,0.3831841539210368,0.009843240051535218,0.43651020897582404,0.01065276656620607,0.43708855929578894,0.011107079609980605,0.43379532534928805,0.01053336331954959,0.40117103494304907,0.01036003800101932,0.4062473691827187,0.010381473292154185,0.42572223624469896,0.010585364069906594,0.39446607029884256,0.010792477164891904,0.4280165075423606,0.010905343312277424,0.43009909729009443,0.010202797081821233,0.42829423973980413,0.010190753698806627,0.3584396810346952,0.011004138189329722,0.4024806020570057,0.009696874967580257,0.35540168012742057,0.010899664214686128
0.765,0.3649540597797597,0.010148707222307214,0.3821839109189551,0.009928840377021821,0.38380259918614446,0.00984733931726989,0.43670379574082124,0.010441762826600833,0.4378725003712728,0.010964091166187077,0.4338788712923031,0.010547222002713472,0.40105629908227275,0.01035463427742583,0.406484351563066,0.010309442605664703,0.42584520840725276,0.010381695279837544,0.3952955267694016,0.01074503155216577,0.4286320237653653,0.010728552198974636,0.4303337545131577,0.010077554974122917,0.42850271327759526,0.010062421148489903,0.36014302170221474,0.010870262588596672,0.4027076697722677,0.00971225133549675,0.35706764300669314,0.010737132547467556
0.77,0.36584836370581786,0.010154821500426594,0.3826911998854822,0.009770076971702823,0.38458480247432697,0.009870398606468257,0.4367626924240387,0.01040268526692928,0.43865538857060227,0.01085897407057538,0.4339203920770507,0.010540426836154963,0.4009021987956097,0.01020386310514516,0.4066433001267101,0.01020551983258661,0.4259157337959557,0.010295519116392178,0.39598229272928515,0.01051349859343485,0.4291426345139739,0.010586913011958536,0.43057189761012715,0.010161955133391453,0.4284910388831924,0.010075363126862257,0.3616717172478388,0.010736225856002235,0.4027833800225797,0.009672405957746247,0.35869446812187633,0.010750533143453983
0.775,0.3667690740154689,0.009977013943070557,0.38323706039358607,0.009736154626545588,0.38550995117632253,0.010020051144414803,0.4369741358650664,0.010338061039445874,0.4392454945909731,0.010654183309321788,0.43396160981514015,0.010534216237503433,0.40091571637051104,0.010153863230845972,0.4070704978009625,0.010111613538016056,0.42584313304664073,0.010047993013511112,0.39650314689978766,0.010405432470221559,0.42951497638780267,0.010507452531746713,0.43088470930188144,0.010069887731588158,0.428499347681672,0.010054736518905014,0.36321666872370884,0.010541515305699838,0.40281554702404093,0.009769390227207016,0.3602223428379726,0.010608158889007438
0.78,0.36771363418892405,0.009981452047693124,0.3836424080914281,0.009699339429211576,0.3863487770632914,0.00995692198293658,0.43705129580671753,0.010298327281142846,0.4397932787472412,0.010581963837372732,0.4341888765390613,0.010570920504083911,0.40086912406512787,0.010137574531232837,0.4073930372619143,0.010048130486191641,0.42594692141300483,0.01004831243620889,0.3971311048291299,0.01033326650701705,0.4298971179248547,0.010450538942644657,0.43130461711087,0.010104233735689175,0.4284117658893692,0.009948893846149692,0.36462011515324405,0.010336936734450053,0.40281484330286516,0.009646706290067088,0.36170313045049557,0.010526349363799044
