uq_map_name,is_ood,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,GMM-All,GMM-Int,GMM-Spa
228,1,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367,0.4018475750577367
229,1,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526,0.4189473684210526
230,1,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094,0.40375586854460094
231,1,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275,0.36706210746685275
232,0,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821,0.5524126455906821
232,1,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228,0.3986095017381228
233,0,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614,0.5563139931740614
233,1,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893,0.3037300177619893
235,1,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343,0.49226804123711343
238,0,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832,0.5104022191400832
238,1,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436,0.42548818088386436
239,0,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059,0.6472148541114059
239,1,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864,0.41309823677581864
240,1,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727,0.3527272727272727
252,0,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312,0.5778331257783312
252,1,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733,0.39730639730639733
253,1,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649,0.4477211796246649
254,0,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618,0.601123595505618
254,1,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837,0.3450479233226837
